elease Date,Actual
2020-04-30,0.122
2020-03-31,0.116
2020-02-28,0.112
2020-01-31,0.110
2019-12-27,0.112
2019-11-29,0.116
2019-10-31,0.118
2019-09-27,0.118
2019-08-30,0.118
2019-07-31,0.120
2019-06-28,0.123
2019-05-31,0.125
2019-04-30,0.127
2019-03-29,0.124
2019-02-27,0.120
2019-01-31,0.116
2018-12-28,0.116
2018-11-29,0.117
2018-10-30,0.119
2018-09-28,0.121
2018-08-30,0.123
2018-07-31,0.124
2018-06-29,0.127
2018-05-29,0.129
2018-04-27,0.131
2018-03-29,0.126
2018-02-28,0.122
2018-01-31,0.118
2017-12-29,0.120
2017-11-30,0.122
2017-10-31,0.124
2017-09-29,0.126
2017-08-31,0.128
2017-07-28,0.130
2017-06-30,0.133
2017-05-31,0.136
2017-04-28,0.137
2017-03-31,0.132
2017-02-24,0.126
2017-01-31,0.120
2016-12-29,0.119
2016-11-29,0.118
2016-10-27,0.118
2016-09-30,0.118
2016-08-30,0.116
2016-07-29,0.113
2016-06-29,0.112
2016-05-31,0.112
2016-04-29,0.109
2016-03-23,0.082
2016-02-25,0.076
2016-01-28,0.069
2015-12-17,0.075
2015-11-19,0.079
2015-10-22,0.076
2015-09-24,0.076
2015-08-20,0.075
2015-07-23,0.069
2015-06-25,0.067
2015-05-21,0.064
2015-04-28,0.062
2015-03-26,0.059
2015-02-26,0.053
2015-01-29,0.043
2014-12-19,0.048
2014-11-19,0.047
2014-10-23,0.049
2014-09-25,0.050
2014-05-22,0.049
2014-04-17,0.050
2014-03-27,0.051
2014-02-20,0.048
2014-01-30,0.043
2013-12-19,0.046
2013-11-21,0.052
2013-10-24,0.054
2013-09-26,0.053
2013-08-22,0.056
2013-07-24,0.060
2013-06-20,0.058
2013-05-23,0.058
2013-04-25,0.057
2013-03-28,0.056
2013-02-26,0.054
2013-01-31,0.046
2012-12-21,0.049
2012-11-22,0.053
2012-10-25,0.054
2012-09-20,0.053
2012-08-01,0.058
2012-06-21,0.058
2012-05-24,0.060
2012-04-26,0.062
2012-03-22,0.057
2012-02-17,0.055
2012-01-26,0.047
2011-12-22,0.052
2011-11-24,0.058
2011-10-27,0.060
2011-09-22,0.060
2011-08-25,0.060
2011-07-19,0.062
2011-06-22,0.064
2011-05-26,0.064
2011-04-19,0.065
2011-03-24,0.064
2011-02-24,0.061
2011-01-27,0.053
2010-12-17,0.057
2010-11-25,0.061
2010-10-21,0.062
2010-09-01,0.067
2010-08-01,0.069
2010-07-01,0.070
2010-06-01,0.075
2010-05-01,0.073
2010-04-01,0.076
2010-03-01,0.074
2010-02-01,0.072
2010-01-01,0.068
