Release Date,Actual
2020-04-03,0.044
2020-03-06,0.035
2020-02-07,0.036
2020-01-10,0.035
2019-12-06,0.035
2019-11-01,0.036
2019-10-04,0.035
2019-09-06,0.037
2019-08-02,0.037
2019-07-05,0.037
2019-06-07,0.036
2019-05-03,0.036
2019-04-05,0.038
2019-03-08,0.038
2019-02-01,0.040
2019-01-04,0.039
2018-12-07,0.037
2018-11-02,0.037
2018-10-05,0.037
2018-09-07,0.039
2018-08-03,0.039
2018-07-06,0.040
2018-06-01,0.038
2018-05-04,0.039
2018-04-06,0.041
2018-03-09,0.041
2018-02-02,0.041
2018-01-05,0.041
2017-12-08,0.041
2017-11-03,0.041
2017-10-06,0.042
2017-09-01,0.044
2017-08-04,0.043
2017-07-07,0.044
2017-06-02,0.043
2017-05-05,0.044
2017-04-07,0.045
2017-03-10,0.047
2017-02-03,0.048
2017-01-06,0.047
2016-12-02,0.046
2016-11-04,0.049
2016-10-07,0.050
2016-09-02,0.049
2016-08-05,0.049
2016-07-08,0.049
2016-06-03,0.047
2016-05-06,0.050
2016-04-01,0.050
2016-03-04,0.049
2016-02-05,0.049
2016-01-08,0.050
2015-12-04,0.050
2015-11-06,0.050
2015-10-02,0.051
2015-09-04,0.051
2015-08-07,0.053
2015-07-02,0.053
2015-06-05,0.055
2015-05-08,0.054
2015-04-03,0.055
2015-03-06,0.055
2015-02-06,0.057
2015-01-09,0.056
2014-12-05,0.058
2014-11-07,0.058
2014-10-03,0.059
2014-09-05,0.061
2014-08-01,0.062
2014-07-03,0.061
2014-06-06,0.063
2014-05-02,0.063
2014-04-04,0.067
2014-03-07,0.067
2014-02-07,0.066
2014-01-10,0.067
2013-12-06,0.070
2013-11-08,0.073
2013-10-22,0.072
2013-09-06,0.073
2013-08-02,0.074
2013-07-05,0.076
2013-06-07,0.076
2013-05-03,0.075
2013-04-05,0.076
2013-03-08,0.077
2013-02-01,0.079
2013-01-04,0.078
2012-12-07,0.077
2012-11-02,0.079
2012-10-05,0.078
2012-09-07,0.081
2012-08-03,0.083
2012-07-06,0.082
2012-06-01,0.082
2012-05-04,0.081
2012-04-06,0.082
2012-03-09,0.083
2012-02-03,0.083
2012-01-06,0.085
2011-12-02,0.086
2011-11-04,0.090
2011-10-07,0.091
2011-09-02,0.091
2011-08-05,0.091
2011-07-08,0.092
2011-06-03,0.091
2011-05-06,0.090
2011-04-01,0.088
2011-03-04,0.089
2011-02-04,0.090
2011-01-07,0.094
2010-12-03,0.098
2010-11-05,0.096
2010-10-08,0.096
2010-09-03,0.096
2010-08-06,0.095
2010-07-02,0.095
2010-06-04,0.097
2010-05-07,0.099
2010-04-02,0.097
2010-03-05,0.097
2010-02-05,0.097
2010-01-08,0.100
