Release Date,Actual
2020-04-30,0.084
2020-04-01,0.097
2020-03-03,0.098
2020-01-30,0.098
2020-01-09,0.097
2019-11-29,0.097
2019-10-31,0.099
2019-09-30,0.095
2019-08-30,0.099
2019-07-31,0.097
2019-07-01,0.099
2019-06-04,0.102
2019-04-30,0.102
2019-04-01,0.107
2019-03-01,0.105
2019-01-31,0.103
2019-01-09,0.105
2018-11-30,0.106
2018-10-31,0.101
2018-10-01,0.097
2018-08-31,0.104
2018-07-31,0.109
2018-07-02,0.107
2018-05-31,0.112
2018-05-02,0.110
2018-04-04,0.109
2018-03-01,0.111
2018-01-31,0.108
2018-01-09,0.110
2017-11-30,0.111
2017-10-31,0.111
2017-10-02,0.112
2017-08-31,0.113
2017-07-31,0.111
2017-07-03,0.113
2017-05-31,0.111
2017-05-02,0.117
2017-04-03,0.115
2017-03-02,0.119
2017-01-31,0.120
2017-01-09,0.119
2016-12-01,0.116
2016-11-03,0.117
2016-09-30,0.114
2016-08-31,0.114
2016-07-29,0.116
2016-07-01,0.115
2016-05-31,0.117
2016-04-29,0.114
2016-04-01,0.117
2016-03-01,0.115
2016-02-02,0.114
2016-01-07,0.113
2015-12-01,0.115
2015-10-30,0.118
2015-09-30,0.119
2015-09-01,0.120
2015-07-31,0.127
2015-06-30,0.124
2015-06-03,0.124
2015-04-30,0.130
2015-03-31,0.127
2015-03-02,0.126
2015-01-30,0.129
2015-01-07,0.134
2014-11-28,0.132
2014-10-31,0.126
2014-09-30,0.123
2014-08-29,0.126
2014-07-31,0.123
2014-07-01,0.126
2014-06-03,0.126
2014-04-30,0.127
2014-04-01,0.130
2014-02-28,0.129
2014-01-31,0.127
2014-01-08,0.127
2013-11-29,0.125
2013-10-31,0.125
2013-10-01,0.122
2013-08-30,0.120
2013-07-31,0.121
2013-07-01,0.122
2013-05-31,0.120
2013-04-30,0.115
2013-04-02,0.116
2013-03-01,0.117
2013-02-01,0.112
2013-01-08,0.111
2012-11-30,0.111
2012-10-31,0.108
2012-10-01,0.107
2012-08-31,0.107
2012-07-31,0.108
2012-07-02,0.101
2012-06-01,0.102
2012-05-02,0.098
2012-04-02,0.093
2012-03-01,0.092
2012-01-31,0.089
2012-01-05,0.086
2011-11-30,0.085
2011-10-31,0.083
2011-09-30,0.079
2011-08-31,0.080
2011-08-01,0.080
2011-07-01,0.081
2011-05-31,0.081
2011-04-29,0.083
2011-04-01,0.084
2011-03-01,0.086
2011-02-01,0.086
2011-01-07,0.087
2010-11-30,0.086
2010-10-29,0.083
2010-10-01,0.082
2010-08-31,0.084
2010-07-30,0.085
2010-07-02,0.087
2010-06-01,0.089
2010-04-30,0.088
2010-03-31,0.085
2010-03-01,0.086
2010-01-29,0.085
2010-01-08,0.083
