Release Date,Actual
2020-04-24,0.054
2020-03-24,0.055
2020-02-25,0.055
2020-01-27,0.052
2019-12-23,0.051
2019-11-27,0.050
2019-10-23,0.051
2019-09-24,0.052
2019-08-26,0.052
2019-07-23,0.053
2019-06-26,0.054
2019-05-27,0.056
2019-04-24,0.059
2019-03-25,0.061
2019-02-25,0.061
2019-01-24,0.058
2018-12-21,0.057
2018-11-27,0.057
2018-10-23,0.057
2018-09-25,0.058
2018-08-24,0.059
2018-07-24,0.059
2018-06-25,0.061
2018-05-25,0.063
2018-04-25,0.066
2018-03-23,0.068
2018-02-23,0.069
2018-01-24,0.066
2017-12-22,0.065
2017-11-24,0.066
2017-10-24,0.068
2017-09-22,0.070
2017-08-24,0.071
2017-07-25,0.071
2017-06-26,0.074
2017-05-25,0.077
2017-04-26,0.081
2017-03-23,0.085
2017-02-23,0.086
2017-01-25,0.083
2016-12-23,0.082
2016-11-25,0.082
2016-10-25,0.083
2016-09-23,0.085
2016-08-24,0.086
2016-07-25,0.088
2016-06-23,0.091
2016-05-25,0.095
2016-04-25,0.100
2016-03-23,0.103
2016-02-23,0.103
2016-01-26,0.098
2015-12-23,0.096
2015-11-25,0.096
2015-10-23,0.097
2015-09-23,0.100
2015-08-25,0.101
2015-07-23,0.103
2015-06-24,0.108
2015-05-26,0.112
2015-04-24,0.117
2015-03-24,0.120
2015-03-10,0.120
2015-02-24,0.120
2015-01-27,0.115
2014-12-23,0.114
2014-11-25,0.113
2014-10-23,0.115
2014-09-23,0.117
2014-08-26,0.119
2014-07-23,0.120
2014-06-26,0.125
2014-05-26,0.130
2014-04-24,0.135
2014-03-25,0.139
2014-02-24,0.140
2014-01-24,0.134
2013-12-23,0.132
2013-11-26,0.130
2013-10-22,0.130
2013-09-24,0.130
2013-08-26,0.131
2013-07-23,0.132
2013-06-25,0.135
2013-05-24,0.140
2013-04-23,0.143
2013-03-22,0.144
2013-02-25,0.142
2013-01-24,0.134
2012-12-21,0.129
2012-11-26,0.125
2012-10-23,0.124
2012-09-25,0.124
2012-08-24,0.123
2012-07-26,0.124
2012-06-26,0.126
2012-05-25,0.129
2012-04-25,0.133
2012-03-26,0.135
2012-02-01,0.132
2012-01-01,0.125
2011-12-01,0.121
2011-11-01,0.118
2011-10-01,0.118
2011-09-01,0.118
2011-08-01,0.118
2011-07-01,0.119
2011-06-01,0.124
2011-05-01,0.128
2011-04-01,0.133
2011-03-01,0.134
2011-02-01,0.131
2011-01-01,0.124
2010-12-01,0.117
2010-11-01,0.115
2010-10-01,0.115
2010-09-01,0.114
2010-08-01,0.115
2010-07-01,0.117
